"ID","game_date","team_abb_home","team_abb_away","pts_home","fgm_home","fga_home","fg_pct_home","fg3m_home","fg3a_home","fg3_pct_home","ftm_home","fta_home","ft_pct_home","dreb_home","oreb_home","reb_home","ast_home","stl_home","blk_home","tov_home","pf_home","pts_2nd_chance_home","pts_in_paint_home","fgm_away","fga_away","fg_pct_away","fg3m_away","fg3a_away","fg3_pct_away","ftm_away","fta_away","oreb_away","dreb_away","reb_away","ast_away","stl_away","blk_away","tov_away","pf_away","pts_away","pts_2nd_chance_away","ft_pct_away","pts_paint_away","wl_home","game_id"
"[411826,659807265]","","ORL","BOS",120,45,95,0.474,15,34,0.441,15,23,0.441,36,12,48,21,5,7,9,24,,,42,87,0.652,19,47,0.40399999999999997,23,28,7,30,37,24,5,6,8,21,126,,0.40399999999999997,,"l",11079
"[411826,659807267]","","MIA","TOR",112,38,76,0.5,11,30,0.36700000000000005,25,27,0.36700000000000005,38,6,44,28,2,2,16,26,,,37,87,0.9259999999999999,14,39,0.359,21,28,8,29,37,24,9,5,6,25,109,,0.359,,"w",11080
"[411826,659807269]","","CHI","CLE",96,34,84,0.405,7,29,0.24100000000000002,21,25,0.24100000000000002,25,10,35,19,12,7,10,19,,,48,85,0.84,16,27,0.593,16,18,8,40,48,32,4,5,18,17,128,,0.593,,"l",11081
"[411826,659807271]","","MIL","HOU",125,48,85,0.565,16,31,0.516,13,21,0.516,39,8,47,29,6,10,16,22,,,36,93,0.619,16,37,0.43200000000000005,17,22,15,32,47,20,9,6,14,22,105,,0.43200000000000005,,"w",11082
"[411826,659807273]","","DAL","MEM",137,45,90,0.5,17,39,0.436,30,36,0.436,37,15,52,23,7,7,15,24,,,34,79,0.833,9,33,0.273,19,24,6,23,29,20,4,8,18,29,96,,0.273,,"w",11083
"[411826,659807275]","","DEN","OKC",122,42,85,0.494,20,38,0.526,18,31,0.526,37,9,46,33,5,6,18,21,,,42,94,0.581,15,38,0.395,18,23,10,37,47,29,10,5,13,27,117,,0.395,,"w",11084
"[411826,659807277]","","SAC","LAC",109,40,85,0.47100000000000003,14,35,0.4,15,26,0.4,30,9,39,24,5,5,12,21,,,41,81,0.5770000000000001,9,22,0.409,20,22,5,35,40,24,8,3,13,21,111,,0.409,,"l",11085
"[411826,659807278]","","LAL","POR",104,41,92,0.446,6,33,0.182,16,20,0.182,30,10,40,26,9,9,13,24,,,37,84,0.8,10,27,0.37,22,27,13,39,52,19,6,5,19,20,106,,0.37,,"l",11086
"[411826,659807281]","","ATL","CHA",109,39,95,0.41100000000000003,8,35,0.22899999999999998,23,28,0.22899999999999998,29,16,45,23,8,9,12,21,,,47,90,0.821,11,26,0.423,21,30,14,38,52,28,7,6,14,24,126,,0.423,,"l",11087
"[411826,659807283]","","CLE","WAS",117,41,96,0.42700000000000005,13,33,0.39399999999999996,22,25,0.39399999999999996,32,16,48,19,10,5,13,20,,,43,87,0.88,12,28,0.429,9,15,4,31,35,25,9,4,20,24,107,,0.429,,"w",11088
"[411826,659807285]","","NOP","UTA",121,48,102,0.47100000000000003,8,27,0.29600000000000004,17,22,0.29600000000000004,31,14,45,30,8,6,17,22,,,43,98,0.773,13,38,0.342,23,28,15,29,44,29,13,6,17,20,122,,0.342,,"l",11089
"[411826,659807290]","","OKC","MIN",106,41,94,0.436,9,41,0.22,15,21,0.22,31,11,42,24,7,4,11,15,,,46,88,0.7140000000000001,10,34,0.294,14,22,12,42,54,24,9,3,15,17,116,,0.294,,"l",11090
"[411826,659807293]","","GSW","SAC",130,45,87,0.517,14,33,0.424,26,36,0.424,31,6,37,24,7,5,13,21,,,47,100,0.722,11,43,0.256,20,25,13,38,51,31,10,2,16,29,125,,0.256,,"w",11091
"[411826,659807295]","","LAC","PHX",95,36,82,0.439,9,32,0.281,14,20,0.281,34,9,43,16,10,0,15,18,,,43,93,0.7,15,42,0.35700000000000004,11,12,13,36,49,29,5,3,13,18,112,,0.35700000000000004,,"l",11092
"[411826,659807299]","","PHI","IND",120,38,80,0.475,19,43,0.442,25,28,0.442,32,7,39,25,8,7,8,20,,,38,90,0.893,12,44,0.273,18,23,14,33,47,27,3,4,13,23,106,,0.273,,"w",11093
"[411826,659807303]","","MIA","TOR",90,29,83,0.349,8,34,0.235,24,27,0.235,38,8,46,19,5,3,12,15,,,34,86,0.889,14,32,0.43799999999999994,16,20,10,42,52,22,6,6,12,22,98,,0.43799999999999994,,"l",11094
